旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1,主站_平台_主站客户-01,1,主站_平台_主站客户,2,02,0.1
3,主站_平台_交易机构-01,3,主站_平台_交易机构,1,01,0
4,盈华财富_平台_平台客户-01,4,盈华财富_平台_平台客户,2,02,0.1
6,联合财富_平台_平台客户-01,6,联合财富_平台_平台客户,2,02,0.1
7,网信白泽_资金渠道_外部菁英（武汉）-23,7,网信白泽_资金渠道_外部菁英（武汉）,2,02,0.1
16,盈华财富_资金渠道_内部专职（盈华）-04,11,盈华财富_资金渠道_内部专职（盈华）,8,08,1
17,联合财富_资金渠道_普通员工-04,145,联合财富_资金渠道_普通员工,8,08,1
19,主站_资金渠道_普通员工-01,13,主站_资金渠道_普通员工,4,04,0.25
24,联合兑换_资金渠道_内部专职-04,14,联合兑换_资金渠道_内部专职,8,08,1
28,网信白泽_资金渠道_外部菁英（济南）-02,15,网信白泽_资金渠道_外部菁英（济南）,8,08,1
29,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
30,网信白泽_资金渠道_外部菁英（济南）-11,15,网信白泽_资金渠道_外部菁英（济南）,5,05,0.5
31,第一房贷_资金渠道_分站平台（独立经济人）-03,22,第一房贷_资金渠道_分站平台（独立经济人）,6,06,0.75
33,存管测试白名单组-01,23,存管测试白名单组,8,08,1
34,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
35,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
36,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
37,主站_平台_第三方渠道CPA（空白组可用）-01,20,主站_平台_第三方渠道CPA（空白组可用）,1,01,0
17088,网信白泽_资金渠道_普通员工1-37,24,网信白泽_资金渠道_普通员工1,8,08,1
22421,联合黄金_资金渠道_内部专职（终止合作）-04,25,联合黄金_资金渠道_内部专职（终止合作）,8,08,1
23693,网信白泽_资金渠道_外部菁英（济南）-26,15,网信白泽_资金渠道_外部菁英（济南）,1,01,0
24221,联合宜汇_资金渠道_内部专职（终止合作）-04,26,联合宜汇_资金渠道_内部专职（终止合作）,8,08,1
31160,网信白泽_资金渠道_普通员工1-1,24,网信白泽_资金渠道_普通员工1,8,08,1
32649,第一车贷_平台_分站客户（撤站）-01,21,第一车贷_平台_分站客户（撤站）,2,02,0.1
35037,盈华财富_资金渠道_内部专职（盈华）-04,11,盈华财富_资金渠道_内部专职（盈华）,5,05,0.5
35038,联合财富_资金渠道_普通员工-04,145,联合财富_资金渠道_普通员工,5,05,0.5
45238,第一房贷_资金渠道_分站平台（独立经济人）-01,22,第一房贷_资金渠道_分站平台（独立经济人）,4,04,0.25
45425,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）-04,28,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）,8,08,1
99645,网信白泽_资金渠道_外部渠道（武汉-存量）-02,30,网信白泽_资金渠道_外部渠道（武汉-存量）,8,08,1
118016,主站_平台_交易机构（中新小贷）-01,31,主站_平台_交易机构（中新小贷）,1,01,0
127092,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）-04,32,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）,8,08,1
138162,第一房贷_资金渠道_外部渠道（财富公司）-04,33,第一房贷_资金渠道_外部渠道（财富公司）,6,06,0.75
170157,主站_平台_精英用户-01,35,主站_平台_精英用户,4,04,0.25
170788,主站_平台_A轮股东代表-01,36,主站_平台_A轮股东代表,5,05,0.5
214511,联合常春藤_资金渠道_内部专职（终止合作）-05,37,联合常春藤_资金渠道_内部专职（终止合作）,8,08,1
214512,第一车贷_资金渠道_内部专职（终止合作）-04,38,第一车贷_资金渠道_内部专职（终止合作）,8,08,1
262683,岱宗会_资金渠道_内部专职（终止合作）-04,43,岱宗会_资金渠道_内部专职（终止合作）,8,08,1
265015,典当联盟_平台_分站客户-01,29,典当联盟_平台_分站客户,2,02,0.1
