借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
供应链A007372007,101096709,26343,500.00,18.5
供应链A007372007,100342175,37351,500.00,18.5
供应链A007372007,100334380,121975,500.00,18.5
供应链A007372007,101136092,329945,500.00,18.5
供应链A007372007,101112326,467479,500.00,18.5
供应链A007372007,100329973,1103022,500.00,18.5
供应链A007372007,101107228,1180744,500.00,18.5
供应链A007372007,101101320,1392784,500.00,18.5
供应链A007372007,101107474,1396922,500.00,18.5
供应链A007372007,101163692,1396957,500.00,18.5
供应链A007372007,101113320,1410862,100.00,3.7
供应链A007372007,101113321,1410862,100.00,3.7
供应链A007372007,101113322,1410862,100.00,3.7
供应链A007372007,101113323,1410862,100.00,3.7
供应链A007372007,101113324,1410862,100.00,3.7
供应链A007372007,101107647,1426379,500.00,18.5
供应链A007372007,101173911,1445830,500.00,18.5
供应链A007372007,101131623,1497507,500.00,18.5
供应链A007372007,100331852,1520058,500.00,18.5
供应链A007372007,100334489,1750224,500.00,18.5
供应链A007372007,100334420,1919026,500.00,18.5
供应链A007372007,100337447,1952278,500.00,18.5
供应链A007372007,101174558,2164325,500.00,18.5
供应链A007372007,100340949,2604576,500.00,18.5
供应链A007372007,100340260,2618933,500.00,18.5
供应链A007372007,100329088,2705199,500.00,18.5
供应链A007372007,101109672,3198225,500.00,18.5
供应链A007372007,101171691,3225524,500.00,18.5
供应链A007372007,101171634,3258063,500.00,18.5
供应链A007372007,101127938,3264521,500.00,18.5
供应链A007372007,100336946,3504490,500.00,18.5
供应链A007372007,101144209,3562105,500.00,18.5
供应链A007372007,101138734,3574908,500.00,18.5
供应链A007372007,101110258,3641464,500.00,18.5
供应链A007372007,101167004,3644760,500.00,18.5
供应链A007372007,101138997,3750607,500.00,18.5
供应链A007372007,101171198,3995710,500.00,18.5
供应链A007372007,101145031,4004155,500.00,18.5
供应链A007372007,101134751,4183862,500.00,18.5
供应链A007372007,101176726,4227678,500.00,18.5
供应链A007372007,101105019,4246210,500.00,18.5
供应链A007372007,101168429,4331741,500.00,18.5
供应链A007372007,101145488,4342252,500.00,18.5
供应链A007372007,101117321,4528350,500.00,18.5
供应链A007372007,100339403,4566639,500.00,18.5
供应链A007372007,101111661,4964695,500.00,18.5
供应链A007372007,101147500,5997086,500.00,18.5
供应链A007372007,100328301,6019217,500.00,18.5
供应链A007372007,101141529,6422560,500.00,18.5
供应链A007372007,100337733,6435742,500.00,18.5
供应链A007372007,101148642,6765410,500.00,18.5
供应链A007372007,101141781,6824403,500.00,18.5
供应链A007372007,101107103,6953058,500.00,18.5
供应链A007372007,101169692,6977442,500.00,18.5
供应链A007372007,101113491,7090711,500.00,18.5
供应链A007372007,101124549,7285313,500.00,18.5
供应链A007372007,101121436,8039047,500.00,18.5
供应链A007372007,100337388,8063590,500.00,18.5
供应链A007372007,101139489,8676837,500.00,18.5
供应链A007372007,100335898,8755428,500.00,18.5
供应链A007372007,101134288,8825894,500.00,18.5
供应链A007372007,100340300,9212725,500.00,18.5
供应链A007372007,100340316,9729018,500.00,18.5
供应链A007372007,101111444,9804548,500.00,18.5
供应链A007372007,100342597,10030436,500.00,18.5
供应链A007372007,101141828,10187725,500.00,18.5
供应链A007372007,100336047,11170368,500.00,18.5
供应链A007372007,101165859,11333756,500.00,18.5
供应链A007372007,100329089,11347579,500.00,18.5
供应链A007372007,101147599,11439687,500.00,18.5
供应链A007372007,100341026,11593464,500.00,18.5
供应链A007372007,101127340,11711786,500.00,18.5
供应链A007372007,101117262,11952695,500.00,18.5
供应链A007372007,101154376,11996747,500.00,18.5
供应链A007372007,100332105,11999168,500.00,18.5
供应链A007372007,100334427,12002943,500.00,18.5
供应链A007372007,101163734,12016137,500.00,18.5
供应链A007372007,101111475,12021811,500.00,18.5
供应链A007372007,100343583,6885958,491.20,18.17
供应链A007372007,101098967,2898387,475.26,17.58
供应链A007372007,101112708,6282330,475.00,17.57
供应链A007372007,101141636,6688344,458.17,16.95
供应链A007372007,101168085,8693723,457.04,16.91
供应链A007372007,100341941,556,454.69,16.82
供应链A007372007,100332280,971969,452.50,16.74
供应链A007372007,101154687,4688570,164.87,6.1
供应链A007372007,101154688,4688570,275.60,10.19
供应链A007372007,100339706,521097,269.47,9.97
供应链A007372007,100344148,521097,169.05,6.25
供应链A007372007,101153144,3380540,434.18,16.06
供应链A007372007,101101374,12053824,425.00,15.72
供应链A007372007,101112898,12074126,423.00,15.65
供应链A007372007,100340231,7289424,411.79,15.23
供应链A007372007,101113534,1462079,408.35,15.1
供应链A007372007,101149249,10658185,205.34,7.59
供应链A007372007,101149250,10658185,202.31,7.48
供应链A007372007,100333194,9614766,100.00,3.7
供应链A007372007,100333195,9614766,102.71,3.8
供应链A007372007,100341677,9614766,100.00,3.7
供应链A007372007,100341678,9614766,102.71,3.8
供应链A007372007,101114601,11432267,404.89,14.98
供应链A007372007,101114441,11355706,403.84,14.94
供应链A007372007,101152829,11778913,401.15,14.84
供应链A007372007,100330487,2504117,100.00,3.7
供应链A007372007,100330491,2504117,100.00,3.7
供应链A007372007,100330497,2504117,100.00,3.7
供应链A007372007,100330502,2504117,100.00,3.7
供应链A007372007,101175427,2794513,100.00,3.7
供应链A007372007,101175429,2794513,100.00,3.7
供应链A007372007,101175430,2794513,100.00,3.7
供应链A007372007,101175432,2794513,100.00,3.7
供应链A007372007,100332135,3018058,200.00,7.4
供应链A007372007,100340068,3018058,200.00,7.4
供应链A007372007,101139323,3958355,400.00,14.8
供应链A007372007,101167764,4061389,100.00,3.7
供应链A007372007,101167766,4061389,100.00,3.7
供应链A007372007,101167768,4061389,100.00,3.7
供应链A007372007,101167770,4061389,100.00,3.7
供应链A007372007,101106095,5879279,100.00,3.7
供应链A007372007,101106096,5879279,100.00,3.7
供应链A007372007,101106097,5879279,100.00,3.7
供应链A007372007,101106098,5879279,100.00,3.7
供应链A007372007,101169734,6899796,100.00,3.7
供应链A007372007,101169736,6899796,100.00,3.7
供应链A007372007,101169737,6899796,100.00,3.7
供应链A007372007,101169739,6899796,100.00,3.7
供应链A007372007,101122747,9152261,100.00,3.7
供应链A007372007,101122748,9152261,100.00,3.7
供应链A007372007,101122749,9152261,100.00,3.7
供应链A007372007,101122750,9152261,100.00,3.7
供应链A007372007,100341382,3241503,369.43,13.66
供应链A007372007,101114896,7878795,362.78,13.42
供应链A007372007,101131934,11606348,346.59,12.82
供应链A007372007,101146327,4923942,340.70,12.6
供应链A007372007,101120778,11334093,335.50,12.41
供应链A007372007,101142071,11996381,333.49,12.33
供应链A007372007,101164749,2270941,100.00,3.7
供应链A007372007,101164751,2270941,230.70,8.53
供应链A007372007,101125849,7970668,330.22,12.21
供应链A007372007,101127515,2931681,325.02,12.02
供应链A007372007,100333549,11814987,100.00,3.7
供应链A007372007,100333561,11814987,117.59,4.35
供应链A007372007,100339942,11814987,104.89,3.88
供应链A007372007,101126527,11436084,314.21,11.62
供应链A007372007,101156091,11503488,310.64,11.49
供应链A007372007,101148413,6313087,101.00,3.73
供应链A007372007,101148415,6313087,101.00,3.73
供应链A007372007,101148417,6313087,108.00,3.99
供应链A007372007,101162799,9716308,307.78,11.38
供应链A007372007,101129084,4081186,100.35,3.71
供应链A007372007,101129085,4081186,100.00,3.7
供应链A007372007,101129086,4081186,103.78,3.83
供应链A007372007,101155367,6208470,303.82,11.24
供应链A007372007,101121283,7971679,302.06,11.17
供应链A007372007,101173108,169989,302.01,11.17
供应链A007372007,101099296,1034297,100.25,3.7
供应链A007372007,101099297,1034297,100.14,3.7
供应链A007372007,101099298,1034297,100.95,3.73
供应链A007372007,101144911,11661208,100.35,3.71
供应链A007372007,101144912,11661208,100.35,3.71
供应链A007372007,101144913,11661208,100.35,3.71
供应链A007372007,100331664,1155,100.00,3.7
供应链A007372007,100333734,1155,100.00,3.7
供应链A007372007,100343430,1155,100.00,3.7
供应链A007372007,100333543,9713,100.00,3.7
供应链A007372007,100333547,9713,100.00,3.7
供应链A007372007,100341339,9713,100.00,3.7
供应链A007372007,100328870,29928,100.00,3.7
供应链A007372007,100333364,29928,100.00,3.7
供应链A007372007,100341608,29928,100.00,3.7
供应链A007372007,101117373,48443,100.00,3.7
供应链A007372007,101117374,48443,100.00,3.7
供应链A007372007,101117375,48443,100.00,3.7
供应链A007372007,101100510,158257,100.00,3.7
供应链A007372007,101100511,158257,100.00,3.7
供应链A007372007,101100512,158257,100.00,3.7
供应链A007372007,101136024,163920,300.00,11.1
供应链A007372007,101172579,223917,100.00,3.7
供应链A007372007,101172580,223917,100.00,3.7
供应链A007372007,101172582,223917,100.00,3.7
供应链A007372007,101106723,229065,100.00,3.7
供应链A007372007,101106724,229065,200.00,7.4
供应链A007372007,100332759,413205,100.00,3.7
供应链A007372007,100333878,413205,100.00,3.7
供应链A007372007,100342178,413205,100.00,3.7
供应链A007372007,101124892,548790,100.00,3.7
供应链A007372007,101124893,548790,100.00,3.7
供应链A007372007,101124894,548790,100.00,3.7
供应链A007372007,101150312,599131,100.00,3.7
供应链A007372007,101150313,599131,100.00,3.7
供应链A007372007,101150314,599131,100.00,3.7
供应链A007372007,100331509,756151,100.00,3.7
供应链A007372007,100340774,756151,100.00,3.7
供应链A007372007,100340784,756151,100.00,3.7
供应链A007372007,100328010,804453,100.00,3.7
供应链A007372007,100340322,804453,100.00,3.7
供应链A007372007,100341926,804453,100.00,3.7
供应链A007372007,101118355,842366,100.00,3.7
供应链A007372007,101118356,842366,100.00,3.7
供应链A007372007,101118357,842366,100.00,3.7
供应链A007372007,101112770,934218,100.00,3.7
供应链A007372007,101112771,934218,100.00,3.7
供应链A007372007,101112772,934218,100.00,3.7
供应链A007372007,101101092,1000855,100.00,3.7
供应链A007372007,101101093,1000855,100.00,3.7
供应链A007372007,101101094,1000855,100.00,3.7
供应链A007372007,101142003,1401214,100.00,3.7
供应链A007372007,101142004,1401214,100.00,3.7
供应链A007372007,101142005,1401214,100.00,3.7
供应链A007372007,100330202,1449244,100.00,3.7
供应链A007372007,100333102,1449244,100.00,3.7
供应链A007372007,100341821,1449244,100.00,3.7
供应链A007372007,100334090,1454881,100.00,3.7
供应链A007372007,100341729,1454881,200.00,7.4
供应链A007372007,101131889,1839686,100.00,3.7
供应链A007372007,101131890,1839686,100.00,3.7
供应链A007372007,101131891,1839686,100.00,3.7
供应链A007372007,101151594,1924196,100.00,3.7
供应链A007372007,101151595,1924196,100.00,3.7
供应链A007372007,101151596,1924196,100.00,3.7
供应链A007372007,101119526,2032947,100.00,3.7
供应链A007372007,101119527,2032947,100.00,3.7
供应链A007372007,101119528,2032947,100.00,3.7
供应链A007372007,101157017,2204291,100.00,3.7
供应链A007372007,101157018,2204291,100.00,3.7
供应链A007372007,101157019,2204291,100.00,3.7
供应链A007372007,100332630,2344439,100.00,3.7
供应链A007372007,100340093,2344439,100.00,3.7
供应链A007372007,100343045,2344439,100.00,3.7
供应链A007372007,100326370,2532162,100.00,3.7
供应链A007372007,100340358,2532162,100.00,3.7
供应链A007372007,100341649,2532162,100.00,3.7
供应链A007372007,100330226,2613296,100.00,3.7
供应链A007372007,100333012,2613296,100.00,3.7
供应链A007372007,100341863,2613296,100.00,3.7
