借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007374705,100458990,11960462,1939.21,43.85
消费贷A005425697,72892067,4683400,543.79,18.36
消费贷A005429908,72930748,4683400,138.73,1.98
消费贷A007367468,100100750,4683400,33.86,0.37
消费贷A007371046,100271397,4683400,50.55,0.7
消费贷A007373627,100404867,4683400,33.83,0.35
消费贷A007374709,100458710,4683400,67.15,1.17
消费贷A007378120,100662376,4683400,50.55,0.7
消费贷A007378570,100693195,4683400,16.99,0.12
消费贷A007381754,100851550,4683400,1264.93,27
消费贷A004762053,71740774,1369411,256.06,6.3
消费贷A004847847,71855081,1369411,253.83,6.25
消费贷A005012890,72065514,1369411,266.51,6.56
消费贷A005024504,72081284,1369411,81.95,2
消费贷A005096944,72178178,1369411,151.39,3.72
消费贷A005260246,72443813,1369411,28.82,0.81
消费贷A005317247,72545703,1369411,39.94,1.13
消费贷A005353022,72597063,1369411,13.10,0.18
消费贷A005378957,72651952,1369411,27.25,0.76
消费贷A005379266,72651956,1369411,98.22,2.82
消费贷A005399735,72706815,1369411,35.04,1.01
消费贷A004204550,70975319,17281,18.37,0.33
消费贷A005412748,72798176,17281,31.12,0.29
消费贷A005434742,72982524,17281,9.36,0.12
消费贷A005448831,73121067,17281,13.78,0.23
消费贷A005448831,73121092,17281,71.45,1.24
消费贷A004314392,71151038,266215,344.80,6.62
消费贷A004314392,71151182,266215,155.66,2.98
消费贷A005426584,72899733,266215,20.51,0.19
消费贷A005434309,72978031,266215,277.16,3.98
消费贷A005448943,73122358,266215,86.72,3.4
消费贷A005454009,73160735,266215,57.67,2.25
消费贷A005462015,73215219,266215,907.66,19.93
消费贷A005468854,73271718,266215,363.12,7.96
消费贷A005468854,73271731,266215,82.66,1.8
消费贷A005476250,73345482,266215,732.30,16.07
消费贷A005486968,73434871,266215,451.91,11.91
消费贷A005506247,73626545,266215,135.09,4.34
消费贷A005509130,73661567,266215,124.43,4.57
消费贷A005509281,73663672,266215,967.75,31.28
消费贷A005206651,72340259,4729557,18.41,0.42
消费贷A005414691,72809894,4729557,46.54,0.44
消费贷A005415568,72816099,4729557,317.65,10.72
消费贷A007383951,100983598,11260486,2757.47,83.29
消费贷A004455031,71334808,4527151,13.91,0.25
消费贷A005428236,72912608,4527151,4.77,0.04
消费贷A005482333,73390473,4527151,225.99,5.94
消费贷A005487599,73444959,4527151,257.03,5.37
消费贷A007358007,99690560,6933411,1886.79,14.15
消费贷A007366523,100067760,6933411,168.61,1.89
消费贷A005476753,73351726,4385,2179.56,47.87
消费贷A005423781,72879564,1092077,28.58,0.27
消费贷A007373766,100410997,11933629,1645.89,29.24
消费贷A005437436,73012677,367255,1555.48,22.39
消费贷A007357705,99679605,8824906,17.01,0.12
消费贷A007366706,100074226,8824906,84.93,0.63
消费贷A007370599,100254897,8824906,50.55,0.7
消费贷A007373850,100416982,8824906,67.15,1.17
消费贷A007380051,100769858,8824906,83.63,1.76
消费贷A007382487,100889860,8824906,169.05,1.79
消费贷A007382909,100900206,8824906,214.37,3.03
消费贷A004230224,71011606,4755169,41.46,0.78
消费贷A004900174,71915328,4755169,37.72,0.91
消费贷A005471431,73300076,4755169,118.16,2.58
消费贷A005514798,73733376,4755169,102.76,3.29
消费贷A005531280,73914507,4755169,176.03,6.48
消费贷A007376970,100590138,4755169,14.64,0.32
消费贷A005512769,73702919,7876361,1639.84,52.99
消费贷A005086984,72164377,4527996,209.48,5.16
消费贷A005471296,73298551,8899168,1377.13,60.94
消费贷A005346114,72581617,355511,227.73,6.57
消费贷A005423207,72873330,355511,19.62,0.18
消费贷A005425549,72890899,355511,9.39,0.08
消费贷A005536979,74029686,355511,490.63,29.68
消费贷A005490771,73467920,1187569,736.79,35.88
消费贷A004575127,71501154,7415791,228.31,5.47
消费贷A004576077,71501155,7415791,1089.65,26.21
消费贷A004594264,71507507,7415791,522.95,12.59
消费贷A007354835,99540974,8160023,17.01,0.12
消费贷A007358328,99704071,8160023,17.01,0.12
消费贷A007369042,100182786,8160023,33.83,0.35
消费贷A007371269,100281959,8160023,757.96,10.75
消费贷A007373542,100398470,8160023,50.55,0.7
消费贷A007380375,100789066,8160023,83.63,1.76
消费贷A007380898,100814701,8160023,83.63,1.76
消费贷A007381644,100842208,8160023,16.99,0.12
消费贷A007382678,100892358,8160023,204.58,2.89
消费贷A005466173,73251595,266221,18.25,0.38
消费贷A005468138,73264620,266221,18.25,0.38
消费贷A005483796,73406819,266221,54.07,1.64
消费贷A005493293,73500118,266221,44.29,2.1
消费贷A005524129,73805525,266221,31.55,1.12
消费贷A005524129,73805542,266221,31.55,1.12
消费贷A005527964,73857600,266221,31.55,1.12
消费贷A005528033,73869322,266221,31.55,1.12
消费贷A005528041,73874048,266221,52.80,3.12
消费贷A005528044,73874081,266221,48.63,2.64
消费贷A005528105,73884426,266221,31.55,1.12
消费贷A005528105,73884896,266221,31.55,1.12
消费贷A005528230,73904879,266221,52.80,3.12
消费贷A005531114,73910362,266221,40.17,1.8
消费贷A005531202,73911159,266221,354.81,18.07
消费贷A005531299,73925867,266221,31.55,1.12
消费贷A005531299,73925878,266221,14.27,0.53
消费贷A005431076,72945240,4551534,2037.29,78.83
消费贷A005373203,72640457,3636154,4.77,0.04
消费贷A005416159,72822167,3636154,4.77,0.04
消费贷A005416935,72829574,3636154,4.77,0.04
消费贷A005417086,72832511,3636154,27.29,0.89
消费贷A005417713,72834754,3636154,4.77,0.04
消费贷A005421962,72865151,3636154,4.77,0.04
消费贷A005422705,72870401,3636154,4.77,0.04
消费贷A005423202,72873258,3636154,27.29,0.89
消费贷A005429564,72927011,3636154,4.77,0.04
消费贷A005429932,72931006,3636154,9.36,0.12
消费贷A005435137,72987631,3636154,27.29,0.89
消费贷A005438084,73022652,3636154,13.91,0.25
消费贷A007374749,100460341,3636154,42.80,0.94
消费贷A007376454,100562569,3636154,42.80,0.94
消费贷A007378807,100707919,3636154,67.15,1.17
