借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A004343569,71184612,6,380.98,7.31
消费贷A005413087,72799238,6,23.36,0.22
消费贷A005426427,72899044,92,23.34,0.22
消费贷A005531290,73917696,118,31.55,1.12
消费贷A005531297,73923701,118,52.80,3.12
消费贷A005532459,73946858,118,31.55,1.12
消费贷A005535166,73976400,118,31.55,1.12
消费贷A007361703,99840602,138,33.86,0.37
消费贷A007365276,99992778,138,33.86,0.37
消费贷A007365813,100026602,138,33.86,0.37
消费贷A007366530,100068011,138,33.86,0.37
消费贷A007366530,100068045,138,33.86,0.37
消费贷A007374610,100454008,138,33.83,0.35
消费贷A007376809,100579136,138,16.99,0.12
消费贷A007379555,100747879,138,50.55,0.7
消费贷A007380323,100785753,138,83.63,1.76
消费贷A007381197,100826116,138,16.99,0.12
消费贷A007381548,100838429,138,16.99,0.12
消费贷A005521822,73773255,140,89.41,0.74
消费贷A005471349,73299021,241,25.15,0.53
消费贷A005491296,73471195,241,848.26,22.38
消费贷A005510254,73675652,241,1790.85,99.99
消费贷A005412361,72792276,278,69.71,0.66
消费贷A005231426,72386263,279,194.15,4.65
消费贷A005431677,72951284,279,18.22,0.25
消费贷A004044853,70760237,305,21.05,0.39
消费贷A005261266,72451399,305,22.87,0.63
消费贷A005425991,72895143,309,54.36,1.79
消费贷A005496373,73530558,444,44.29,2.1
消费贷A007383925,100983264,508,16.99,0.12
消费贷A007383954,100983683,508,16.99,0.12
消费贷A007383982,100983998,508,16.99,0.12
消费贷A007383990,100984243,508,16.99,0.12
消费贷A005409047,72755636,512,26.59,0.75
消费贷A004413242,71286580,556,11.14,0.15
消费贷A005424167,72879227,556,46.54,0.44
消费贷A005428649,72915814,556,92.98,0.88
消费贷A005429652,72928324,556,100.52,1.44
消费贷A005483453,73399417,556,226.46,5.96
消费贷A005489771,73459811,556,884.67,43.08
消费贷A005522286,73778508,556,528.02,31.92
消费贷A005536858,74015352,556,52.80,3.12
消费贷A005541006,74221371,556,11.95,0.13
消费贷A005543008,74260408,556,406.80,13.63
消费贷A005547359,74435816,556,10.14,0.07
消费贷A005547674,74458520,556,87.06,0.68
消费贷A007341805,99074772,556,81.18,1.6
消费贷A007341878,99078417,556,104.07,2.46
消费贷A007370049,100228026,556,1010.61,14.33
消费贷A007373110,100381018,556,505.32,7.16
消费贷A007374167,100433744,556,11.68,0.2
消费贷A007327404,98689801,628,34.44,0.66
消费贷A007378466,100685245,750,67.15,1.17
消费贷A007378872,100714442,750,67.15,1.17
消费贷A004059122,70775615,759,344.21,6.62
消费贷A005069443,72147322,830,48.82,1.2
消费贷A005412087,72789231,859,4.87,0.04
消费贷A005416480,72824651,859,5.61,0.05
消费贷A005429528,72926807,859,67.23,2.23
消费贷A005438188,73024060,859,140.71,6.09
消费贷A005413324,72806460,916,25.29,0.24
消费贷A005413607,72806462,916,445.42,4.26
消费贷A005413347,72806466,916,5993.39,202.6
消费贷A005501575,73574585,960,93.04,4.71
消费贷A005544344,74284802,960,2077.54,86.55
消费贷A005434627,72981598,1006,46.33,0.66
消费贷A005531328,73932087,1038,527.40,31.9
消费贷A005539075,74160836,1038,1186.37,14.84
消费贷A007370427,100249101,1038,1377.00,25.88
消费贷A007380746,100804324,1060,254.46,1.8
消费贷A007372022,100318434,1096,88.39,1.64
消费贷A005415216,72813000,1114,6.95,0.06
消费贷A005415224,72813005,1114,9.96,0.09
消费贷A005250622,72432170,1132,63.74,1.81
消费贷A007368208,100153020,1152,3888.40,87.9
消费贷A005425991,72895130,1212,27.29,0.89
消费贷A005436041,72996736,1332,184.81,2.65
消费贷A005436559,73001424,1332,162.02,6.26
消费贷A004314399,71145475,1365,334.95,6.41
消费贷A004532732,71425917,1389,108.28,2.59
消费贷A005538255,74069123,1389,56.64,2.06
消费贷A005408826,72753357,1564,672.68,19.44
消费贷A005408846,72754097,1564,3185.48,92.16
消费贷A005304658,72511619,1570,1378.79,26.5
消费贷A005471338,73298887,1570,236.71,5.18
消费贷A005476302,73346888,1570,214.08,9.43
消费贷A005481032,73384870,1570,241.58,6.34
消费贷A005487909,73449703,1570,101.68,2.1
消费贷A005488438,73452639,1570,3005.27,62.86
消费贷A007365663,100015683,1578,33.86,0.37
消费贷A007366707,100074417,1578,33.86,0.37
消费贷A007370424,100245832,1578,33.83,0.35
消费贷A007372187,100329951,1578,16.99,0.12
消费贷A007378431,100684048,1578,67.15,1.17
消费贷A004717019,71680261,1663,366.01,8.79
消费贷A005299522,72505855,1663,227.73,6.57
消费贷A005416468,72824491,1663,92.90,0.88
消费贷A005426202,72898023,1663,92.90,0.88
消费贷A005434024,72975618,1663,815.64,27.55
消费贷A005435230,72988758,1663,631.42,24.41
消费贷A005436017,72996508,1663,239.59,9.24
消费贷A005439695,73036517,1663,227.73,6.57
消费贷A005501206,73571623,1663,136.17,3.74
消费贷A005502240,73581966,1663,116.82,4.28
消费贷A005502440,73586325,1663,135.53,4.35
消费贷A005506370,73631398,1663,84.71,2.1
消费贷A005509837,73670632,1663,971.21,54.16
消费贷A005514459,73724522,1663,54.20,2.46
消费贷A005535527,74124622,1663,8.76,0.06
消费贷A005536976,74124624,1663,8.76,0.06
消费贷A005539041,74159195,1663,8.76,0.06
消费贷A005539732,74172122,1663,8.76,0.06
消费贷A005541063,74187723,1663,69.67,0.55
消费贷A005543095,74247704,1663,56.93,3.64
消费贷A005544298,74307246,1663,69.67,0.55
消费贷A005547672,74456601,1663,8.76,0.06
消费贷A005551005,74667346,1663,17.39,0.19
消费贷A005551005,74667421,1663,173.35,2.05
消费贷A007331268,98760209,1663,171.32,4.05
消费贷A007333778,98822297,1663,75.79,0.89
消费贷A007342264,99087377,1663,346.67,4.11
消费贷A007345512,99190915,1663,8.76,0.06
消费贷A007345512,99190941,1663,24.80,0.19
消费贷A007348966,99296179,1663,87.04,0.68
消费贷A007348966,99296201,1663,8.76,0.06
消费贷A007350421,99341586,1663,13.29,0.1
消费贷A005046265,72110664,1771,20.94,0.5
消费贷A005409272,72756921,1771,404.46,11.67
消费贷A005412976,72801301,1771,6.42,0.06
消费贷A005510735,73677844,1938,62.79,1.55
消费贷A005518795,73757318,1938,50.41,1.83
消费贷A005373206,72640587,2386,2276.23,65.84
消费贷A007366621,100071441,2386,168.02,1.89
消费贷A007367226,100092824,2386,353.11,3.97
消费贷A007343250,99112586,2425,261.03,2.06
消费贷A005407969,72749214,2669,2674.41,77.37
消费贷A004170199,70922059,2725,39.79,0.75
消费贷A004561469,71484550,2725,42.15,1
消费贷A005426427,72899013,2725,63.72,0.6
消费贷A005437075,73008793,2725,61.76,0.88
消费贷A005510192,73674085,2725,242.54,13.48
消费贷A004162053,70912112,2967,1792.40,34.45
消费贷A005210782,72342896,2967,1630.76,39.24
消费贷A005445796,73096025,3150,473.92,8.3
消费贷A004312999,71145470,3388,344.80,6.62
消费贷A004411224,71282318,3388,181.04,3.48
消费贷A005409247,72756794,3538,22.87,0.63
消费贷A005417548,72834619,3538,4.77,0.04
消费贷A005430151,72933364,3538,31.67,1.19
消费贷A005446546,73102712,3538,13.78,0.23
消费贷A007307594,98227042,3538,26.08,0.39
消费贷A007342895,99104033,3538,96.85,2.67
消费贷A007346957,99244979,3538,10.27,0.08
消费贷A007379618,100749783,3538,96.91,3.24
消费贷A007380575,100799303,3538,105.08,1.11
消费贷A007380986,100818955,3538,159.88,2.83
消费贷A007370188,100235754,3697,404.25,5.73
消费贷A007347208,99249158,3710,676.31,18.82
消费贷A007376680,100571693,3710,367.96,8.3
消费贷A005528118,73885903,3752,52.80,3.12
消费贷A005528185,73895348,3752,1130.07,41.79
消费贷A005536193,73992478,3760,52.80,3.12
消费贷A007370783,100267158,3760,624.87,6.64
消费贷A005435470,72992113,3770,148.77,5.71
消费贷A005492395,73491473,3770,206.11,5.42
消费贷A005527216,73845936,3770,872.33,32.24
消费贷A005532463,73948028,3770,392.25,14.48
消费贷A005544432,74314675,3770,22.24,0.17
消费贷A007333036,98803943,3770,105.78,2.5
消费贷A007350177,99334254,3770,941.72,26.23
消费贷A007355770,99595363,3770,40.23,0.3
消费贷A007362658,99888790,3770,176.44,2.78
消费贷A007367927,100137317,3770,525.42,7.89
消费贷A007369904,100223587,3770,593.99,13.41
消费贷A007372730,100361915,3770,61.37,1.13
消费贷A007375218,100484757,3770,210.64,4.75
消费贷A004235599,71036859,3817,265.36,5.09
消费贷A005527969,73863050,3879,8.11,0.06
消费贷A005520011,73761104,3905,625.09,20.17
