借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
供应链A007368150,100155747,24,52.86,0.9
供应链A007382753,100883083,104,55.44,0.19
供应链A007362843,99906153,110,741.57,29.29
供应链A007376242,100571252,110,722.54,12.28
供应链A007376661,100616106,110,9797.36,382.09
供应链A007379591,100807765,110,1846.65,31.39
个体经营贷A005510851,73690788,118,8.30,0.48
供应链A007374890,100487114,146,13.10,0.22
消费贷A002886786,69068649,231,90.21,6.16
消费贷A003109048,69447830,231,19.42,1.66
消费贷A000239756,62541270,232,402.61,19.69
消费贷A002987746,69169123,241,68.83,5.42
消费贷A005229454,72506154,241,546.59,55.58
消费贷A005335699,72704714,241,536.09,48.6
消费贷A005495052,73510208,241,50.37,1.23
消费贷A005495053,73510210,241,535.95,13.46
供应链A007381875,100863040,284,4.05,0.03
供应链A007374882,100463658,352,2.66,0.05
供应链A007376876,100584210,354,132.51,2.35
供应链A007368517,100171715,361,137.93,2.34
100起投，首信1号5877A000132305,59384739,388,213.51,3.87
供应链A007372725,100359398,395,13.07,0.22
供应链A005552962,74631260,501,46.71,4.11
消费贷A000143832,60323082,508,134.28,4.14
消费贷A000161238,61321777,508,167.18,6.29
消费贷A000163240,61405318,508,167.18,6.29
消费贷A000219839,62465832,508,74.43,3.6
消费贷A000622236,63662815,508,2889.37,164.92
消费贷A000644618,63885777,508,287.60,15.75
消费贷A000656997,63933696,508,287.60,15.75
消费贷A000761917,64282503,508,39.32,1.89
消费贷A000761920,64282529,508,3389.57,148.42
消费贷A000806501,64368265,508,1006.20,55.23
消费贷A001731237,66439909,508,241.39,15.3
供应链A007358898,99731046,509,0.70,0.06
供应链A007361912,99849890,514,135.18,5.61
消费贷A000139097,59947054,556,201.82,4.88
消费贷A000143251,60270475,556,373.62,11.58
消费贷A000321003,62784077,619,76.78,3.74
供应链A005546461,74396349,654,66.75,5.87
消费贷A005429008,72924222,729,70.45,7.54
消费贷A000163516,61467443,759,76.93,3.4
消费贷A000542553,101116895,775,0.98,0.05
消费贷A007345120,101171382,824,0.52,0
供应链A005542941,74265893,833,76.64,6.13
消费贷A002911223,101096520,865,1.39,0.11
消费贷A007356329,101171414,868,0.03,0
供应链A007379388,101135441,870,0.57,0
供应链A007316045,98442027,874,58.82,5.23
消费贷A003455689,69905409,916,345.91,3.31
100起投，首信1号5701A000131669,59340247,939,1.12,0.02
消费贷A007345749,99199953,950,85.63,0.64
供应链A007362839,99906129,950,332.64,13.8
消费贷A005336769,72706319,957,68.74,6.23
100起投，首信1号5154A000129984,59191251,960,38.11,0.71
供应链A005554990,74763738,971,84.35,7.51
消费贷A005482790,73395387,990,1317.28,149.74
消费贷A005547448,74415652,1007,60.38,0.72
供应链A007376238,100561562,1024,487.32,8.28
100起投，首信1号4422A000127369,58947769,1029,36.62,0.45
100起投，首信1号4737A000128334,59024338,1029,1406.42,17.57
消费贷A000139055,59943217,1032,67.88,1.62
100起投，首信1号6222A000133281,59471570,1038,97.02,1.76
消费贷A007325330,98650462,1060,1290.05,25.62
100起投，首信1号5628A000131470,59317548,1096,17.25,0.3
消费贷A002599739,68560639,1096,25.61,2.04
供应链A007372281,100331050,1127,180.59,3.21
供应链A007375708,100521177,1129,193.71,3.29
消费贷A000168344,61569602,1132,90.96,4.02
消费贷A007343232,99112071,1152,17.01,0.12
供应链A007365525,100020118,1152,108.57,4.29
消费贷A000152649,60907047,1157,65.66,2.4
供应链A007382105,100858205,1176,29.35,0.23
供应链A007376745,100578018,1237,12.91,0.23
消费贷A000158587,61212101,1336,23.23,0.85
消费贷A002940598,69121430,1365,157.23,12.56
消费贷A003107695,69444881,1389,39.60,3.38
供应链A007380734,100798338,1424,44.33,0.79
供应链A007381018,100817847,1430,458.60,17.89
供应链A007376878,100587047,1456,743.67,13.2
供应链A007376811,100575339,1462,916.89,16.27
消费贷A002940769,69088723,1522,539.22,7.76
供应链A007369234,100200992,1558,123.80,10.65
消费贷A007318740,98510686,1563,9.75,0.23
100起投，首信1号6984A000135691,59679440,1564,204.21,2.46
消费贷A000162279,61369170,1564,90.50,3.39
供应链A007316045,98442877,1564,189.19,16.84
消费贷A000151963,60871626,1570,428.63,15.63
消费贷A000152631,60902889,1570,45.27,1.63
消费贷A000155125,61043616,1570,151.37,3.67
供应链A007372677,100351886,1624,325.49,12.69
消费贷A000150253,60774641,1663,51.41,1.56
消费贷A000925344,64633043,1720,24.45,1.48
消费贷A000149611,60706919,1768,38.43,1.17
消费贷A000156513,61074676,1772,26.20,0.96
消费贷A000152253,60873101,1858,830.34,30.32
消费贷A000154317,60984548,1858,771.20,28.16
100起投，首信1号2885A000121862,58234768,1873,274.03,3.42
100起投，首信1号3105A000122519,58313368,1873,258.31,3.22
100起投，首信1号3106A000122520,58313622,1873,34.43,0.42
100起投，首信1号3184A000122810,58352630,1873,7.43,0.09
100起投，首信1号3347A000123354,58426081,1873,32.51,0.4
100起投，首信1号3461A000123716,58467318,1873,7.68,0.09
100起投，首信1号3611A000124406,58561342,1873,33.93,0.42
100起投，首信1号3825A000125175,58654068,1873,242.97,3.03
100起投，首信1号4036A000126031,58770222,1873,67.78,0.84
100起投，首信1号4037A000126032,58770224,1873,277.65,3.46
100起投，首信1号4037A000126032,58770254,1873,171.39,2.13
100起投，首信1号4037A000126032,58770386,1873,27.04,0.33
100起投，首信1号4075A000126136,58778794,1873,35.54,0.44
100起投，首信1号4075A000126136,58779007,1873,16.19,0.19
100起投，首信1号4078A000126137,58779018,1873,172.52,2.15
100起投，首信1号4078A000126137,58779118,1873,99.44,1.24
100起投，首信1号4143A000126284,58803022,1873,37.15,0.46
100起投，首信1号4153A000126337,58805533,1873,10.52,0.12
100起投，首信1号4561A000127917,58994719,1873,394.03,4.92
100起投，首信1号5537A000131112,59288269,1873,69.13,1.24
100起投，首信2号6802A000135140,59635555,1873,87.58,1.58
消费贷A000136447,59702161,1873,14.54,0.25
消费贷A000137509,59798528,1873,1526.15,37.01
供应链A007369005,100183684,1970,231.36,9.02
供应链A007367913,100143774,2057,157.71,2.68
供应链A005546461,74399106,2082,212.54,18.7
100起投，首信1号4950A000129324,59136008,2386,13.87,0.17
消费贷A002752289,68797191,2386,133.99,1.93
供应链A007370761,100252885,2409,495.23,8.79
供应链A007365529,100008484,2457,285.15,11.83
消费贷A000150236,60770946,2669,37.67,1.14
供应链A007381095,100818071,2671,135.94,2.41
消费贷A003491028,69974715,2908,1369.83,116.85
消费贷A004000624,70696985,2967,740.97,17.83
100起投，首信1号5466A000130915,59272429,3388,943.22,17.72
供应链A005548005,74421107,3516,897.40,78.97
100起投，首信1号2908A000121946,58239563,3538,21.71,0.26
个体经营贷A005504967,73617385,3710,107.10,12.7
供应链A007348799,99351220,3760,200.00,7.9
消费贷A007351013,99356962,3760,33.99,0.25
供应链A007352400,99403105,3760,582.09,24.16
100起投，首信1号6725A000134880,59598603,3770,8.34,0.13
消费贷A000198782,62018201,3770,28.81,1.25
消费贷A002738473,68768695,3770,8.51,0.67
消费贷A000186527,61867986,3821,114.01,5.03
消费贷A000181485,61779581,3830,199.35,8.77
消费贷A000181901,61793728,3830,199.35,8.77
消费贷A000184618,61828887,3830,199.35,8.77
消费贷A000188411,61932150,3830,549.29,24.25
100起投，首信1号5971A000132571,59409718,3905,202.97,3.68
消费贷A000147364,60588060,3905,337.33,10.24
消费贷A000246079,62629076,3924,39.87,1.92
消费贷A007344960,99167059,3924,54.37,0.41
消费贷A005475064,73333463,4014,110.74,12.03
消费贷A000212619,62300247,4032,768.00,36.25
供应链A007367893,100139928,4080,156.83,6.51
供应链A007355545,99596431,4103,45.00,1.87
消费贷A000162478,61377251,4148,317.96,11.99
消费贷A000162403,61377257,4148,64.25,2.4
消费贷A000162479,61377282,4148,130.68,4.94
消费贷A000149784,60719376,4204,109.22,3.32
供应链A007375701,100523188,4274,194.84,3.31
供应链A007382408,101124246,4282,1.73,0.01
供应链A007331447,98774236,4285,160.88,14.32
供应链A007362773,99911083,4296,161.50,6.7
供应链A007358923,99733800,4304,373.12,15.48
消费贷A000181511,61777042,4307,1272.79,56.26
